panel,Year,state,auc,n_canola,n_other,med_flower_obs,med_max_gap_d,frac_gap_over_21d,frac_contains,med_paddock_ha,med_compactness,lat_spread_deg,lon_spread_deg,sow_iqr_d,med_ndvi_amp,canola_peak_med,other_peak_med
2022 SA,2022,SA,0.9892857142857143,14,40,12.0,20.0,0.2037037037037037,0.8888888888888888,65.155,4.66,0.9664561195073417,1.6619140280227795,26.0,0.741220684,0.2466768,0.16415789
2024 NSW,2024,NSW,0.9494261119081779,41,68,14.0,13.0,0.0,0.9541284403669725,45.91,5.23,1.7375512351653355,1.0996880137968452,25.0,0.720895357,0.20498994,0.12293364000000001
2017 NSW,2017,NSW,0.9265873015873016,28,72,9.0,20.0,0.38,0.78,40.72,4.99,2.1683838107316493,1.3820288575905184,20.0,0.6133321439999999,0.1832708,0.11787294200000001
2023 WA,2023,WA,0.9247491638795987,13,46,15.0,15.0,0.0847457627118644,0.6949152542372882,68.67,4.98,2.499120328632526,1.8789755847788516,26.0,0.6327440415,0.19416925,0.11817829
2020 SA,2020,SA,0.9081967213114754,10,61,12.0,20.0,0.23943661971830985,0.8591549295774648,66.3,5.04,1.1165186890266194,1.470140935388548,11.0,0.7267435659999999,0.23068091,0.13876106
2020 NSW,2020,NSW,0.9039179104477612,32,67,13.0,15.0,0.06060606060606061,0.7676767676767676,50.25,4.95,1.9203692154831193,1.348133573572482,24.5,0.723204971,0.23062444,0.1253562
2021 SA,2021,SA,0.9010638297872341,20,47,13.0,15.0,0.3582089552238806,0.8059701492537313,74.7,4.82,1.0810344684841768,1.9196540416202703,7.0,0.728792178,0.20694838,0.1524895
2017 SA,2017,SA,0.8934817170111288,17,37,10.5,22.0,0.6111111111111112,0.8333333333333334,44.61,4.71,0.9059753074061396,1.50984088761605,25.0,0.7060577960999999,0.21799731,0.16213462
2021 NSW,2021,NSW,0.8769523809523809,35,75,15.0,15.0,0.02727272727272727,0.9181818181818182,46.36,5.215,1.9115582595290088,1.3475315841923843,25.25,0.715047543,0.19718489,0.13402975
2024 WA,2024,WA,0.8736842105263158,25,57,15.0,15.0,0.10975609756097561,0.7073170731707317,81.325,5.24,2.446215963458227,2.3814148498180456,30.0,0.6993214849999999,0.20074794,0.16107891
2023 SA,2023,SA,0.8582342954159593,19,62,17.0,10.0,0.037037037037037035,0.8888888888888888,60.19,4.83,1.0804644916075672,1.7794991590203793,14.0,0.7295781920000001,0.22823593,0.15225953
2019 NSW,2019,NSW,0.856140350877193,15,57,17.0,10.0,0.0,0.7916666666666666,35.33,5.06,2.343851103826538,1.4427259962960441,19.0,0.6233923299999999,0.18069589,0.10427096
2018 SA,2018,SA,0.8547794117647058,16,34,13.5,15.0,0.22,0.76,51.65,4.84,1.0500714379782325,1.8613342600073952,8.75,0.7105947754999998,0.21839364,0.14890984499999999
2021 VIC,2021,VIC,0.8460144927536232,18,46,14.0,15.0,0.25,0.84375,57.725,4.88,0.7778379511438551,1.277603095222927,15.0,0.6855254115,0.18739849,0.150830515
2022 NSW,2022,NSW,0.840153452685422,23,68,11.0,22.0,0.5164835164835165,0.8461538461538461,45.75,5.1,1.8595731148906955,1.3134611785430381,26.5,0.6948114095,0.20486897,0.14101726
2020 VIC,2020,VIC,0.8153698979591837,28,56,13.0,17.0,0.4166666666666667,0.7738095238095238,50.900000000000006,4.94,0.7831286304506214,1.2976727187847785,22.25,0.7124671645,0.2072745,0.14782508
2023 NSW,2023,NSW,0.8128571428571428,30,70,16.0,15.0,0.0,0.92,40.605000000000004,5.025,1.5313410155650191,1.367958635508704,21.0,0.6875602219999999,0.20322274,0.1141116375
2022 WA,2022,WA,0.806184012066365,26,51,14.0,15.0,0.24675324675324675,0.7922077922077922,50.98,4.98,1.7386562290995957,1.3558443531296442,17.0,0.6740979575,0.18794194,0.13996588
2022 VIC,2022,VIC,0.7971153846153847,30,52,13.0,15.0,0.21951219512195122,0.7560975609756098,58.620000000000005,5.13,0.7980328469020204,1.4778332792464888,21.0,0.7341459450000001,0.21704014500000002,0.161488535
2019 WA,2019,WA,0.7691176470588236,20,51,15.0,15.0,0.04225352112676056,0.8732394366197183,66.7,5.14,1.8679520023564113,1.7759210685313767,14.0,0.559237897,0.156447,0.12885761
2019 VIC,2019,VIC,0.7605218855218855,27,44,14.0,15.0,0.028169014084507043,0.5774647887323944,58.59,4.8,0.5522388186793754,1.2950849802578617,18.5,0.7101713699,0.20493643,0.13315797499999998
2019 SA,2019,SA,0.7493827160493827,18,45,15.0,15.0,0.20634920634920634,0.8253968253968254,59.89,4.72,1.1023128591850133,2.073612086072445,10.0,0.7261725875,0.18136267,0.14185798
2018 VIC,2018,VIC,0.7325,16,50,14.5,15.0,0.16666666666666666,0.7878787878787878,94.56,4.83,0.7774514898832505,1.4422957651550055,9.0,0.6108197142499999,0.14648175,0.11981754
2024 SA,2024,SA,0.7315340909090909,16,44,15.0,15.0,0.23333333333333334,0.7666666666666667,57.74,4.765000000000001,1.0826668660044296,1.821114284905235,6.25,0.6700686669999999,0.20343754,0.15438002499999998
2017 WA,2017,WA,0.7283653846153846,16,39,9.0,20.0,0.38181818181818183,0.6181818181818182,60.47,5.04,1.7422484358047816,1.7506749141747084,27.0,0.5813928919999999,0.16451624,0.1250629
2017 VIC,2017,VIC,0.7186206896551725,25,29,8.0,20.0,0.2222222222222222,0.5185185185185185,47.47,4.73,0.6718571909071721,1.4551421657380577,12.25,0.6904775519999999,0.19618115,0.15594663
2018 WA,2018,WA,0.7055555555555556,14,45,15.0,13.0,0.0847457627118644,0.8135593220338984,88.55,4.81,3.46628762161037,2.9311766851909886,3.0,0.6527968829999999,0.174192515,0.15526617
2023 VIC,2023,VIC,0.7013677811550152,28,47,15.0,15.0,0.02666666666666667,0.88,85.92,4.96,0.8185295355925729,1.297820889805365,19.5,0.6929328825000001,0.19523992,0.15469885
2020 WA,2020,WA,0.6835714285714286,20,70,14.0,15.0,0.14444444444444443,0.7444444444444445,87.36,5.12,2.907674406377127,2.3605416478434047,17.0,0.6597077022,0.17192438999999998,0.149519605
2018 NSW,2018,NSW,0.6188811188811189,13,44,14.0,15.0,0.0,0.8070175438596491,33.58,4.87,2.1686413959064414,1.2906308169597993,16.0,0.6212602779999999,0.16155086,0.11543323
2024 VIC,2024,VIC,0.5188933873144399,19,39,14.5,20.0,0.46551724137931033,0.8448275862068966,39.209999999999994,5.045,0.8755522947365362,1.2823785786159414,19.5,0.56773743975,0.18229675,0.15483905
2021 WA,2021,WA,0.3614583333333333,10,48,15.0,13.5,0.0,0.7068965517241379,53.625,5.07,3.3644732336793455,2.8641863846208455,19.5,0.72388215965,0.14793003,0.16743031
